MaGiaoDich,Ngay,Thang,KhuVuc,TenSanPham,SoLuong,GiaBan,GiaVon,DoanhThu,LoiNhuan
796,07/12/2023,12,Miền Nam,Điện thoại,8,7600000,6000000,60800000,12800000
797,02/10/2023,10,Miền Trung,Tai nghe,3,520000,275000,1560000,735000
798,07/02/2023,2,Miền Trung,Laptop Dell,1,14250000,13200000,14250000,1050000
799,08/07/2023,7,Miền Trung,Tai nghe,2,495000,275000,990000,440000
800,09/07/2023,7,Miền Bắc,Tai nghe,4,505000,250000,2020000,1020000
801,19/11/2023,11,Miền Nam,Bàn phím,3,784000,500000,2352000,852000
802,17/07/2023,7,Miền Trung,Chuột quang,2,192000,110000,384000,164000
803,06/09/2023,9,Miền Bắc,Tai nghe,2,480000,250000,960000,460000
804,22/10/2023,10,Miền Trung,Bàn phím,4,808000,550000,3232000,1032000
805,09/01/2023,1,Miền Trung,Chuột quang,6,202000,110000,1212000,552000
806,06/01/2023,1,Miền Nam,Bàn phím,9,760000,500000,6840000,2340000
807,25/11/2023,11,Miền Bắc,Điện thoại,1,7920000,6000000,7920000,1920000
808,14/04/2023,4,Miền Bắc,Bàn phím,3,824000,500000,2472000,972000
809,19/09/2023,9,Miền Trung,Điện thoại,5,8240000,6600000,41200000,8200000
810,20/07/2023,7,Miền Nam,Tai nghe,2,485000,250000,970000,470000
811,13/02/2023,2,Miền Trung,Chuột quang,1,190000,110000,190000,80000
812,23/03/2023,3,Miền Trung,Tai nghe,1,510000,275000,510000,235000
813,25/11/2023,11,Miền Bắc,Bàn phím,1,784000,500000,784000,284000
814,06/06/2023,6,Miền Bắc,Tai nghe,1,520000,250000,520000,270000
815,23/04/2023,4,Miền Nam,Tai nghe,5,495000,250000,2475000,1225000
816,22/03/2023,3,Miền Trung,Chuột quang,1,194000,110000,194000,84000
817,05/07/2023,7,Miền Nam,Bàn phím,1,792000,500000,792000,292000
818,18/01/2023,1,Miền Nam,Điện thoại,5,8160000,6000000,40800000,10800000
819,08/10/2023,10,Miền Nam,Bàn phím,2,776000,500000,1552000,552000
820,19/02/2023,2,Miền Bắc,Điện thoại,7,7760000,6000000,54320000,12320000
821,08/05/2023,5,Miền Trung,Laptop Dell,1,14250000,13200000,14250000,1050000
822,11/01/2023,1,Miền Nam,Điện thoại,1,8160000,6000000,8160000,2160000
823,24/03/2023,3,Miền Trung,Chuột quang,2,194000,110000,388000,168000
824,27/01/2023,1,Miền Bắc,Bàn phím,6,800000,500000,4800000,1800000
825,19/12/2023,12,Miền Nam,Tai nghe,4,495000,250000,1980000,980000
826,08/04/2023,4,Miền Nam,Bàn phím,1,808000,500000,808000,308000
827,11/04/2023,4,Miền Trung,Bàn phím,4,816000,550000,3264000,1064000
828,14/04/2023,4,Miền Bắc,Tai nghe,5,505000,250000,2525000,1275000
829,11/02/2023,2,Miền Bắc,Bàn phím,9,816000,500000,7344000,2844000
830,12/03/2023,3,Miền Nam,Chuột quang,5,198000,100000,990000,490000
831,02/04/2023,4,Miền Nam,Tai nghe,3,510000,250000,1530000,780000
832,12/11/2023,11,Miền Nam,Laptop Dell,6,14250000,12000000,85500000,13500000
833,12/03/2023,3,Miền Bắc,Laptop Dell,3,15600000,12000000,46800000,10800000
834,11/08/2023,8,Miền Bắc,Bàn phím,1,768000,500000,768000,268000
835,11/01/2023,1,Miền Nam,Chuột quang,1,198000,100000,198000,98000
836,27/12/2023,12,Miền Bắc,Chuột quang,3,190000,100000,570000,270000
837,17/12/2023,12,Miền Nam,Chuột quang,5,196000,100000,980000,480000
838,21/12/2023,12,Miền Trung,Chuột quang,3,204000,110000,612000,282000
839,26/07/2023,7,Miền Bắc,Laptop Dell,2,14700000,12000000,29400000,5400000
840,15/12/2023,12,Miền Bắc,Tai nghe,6,505000,250000,3030000,1530000
841,28/01/2023,1,Miền Nam,Chuột quang,6,202000,100000,1212000,612000
842,09/09/2023,9,Miền Trung,Chuột quang,1,198000,110000,198000,88000
843,08/12/2023,12,Miền Trung,Bàn phím,3,832000,550000,2496000,846000
844,18/06/2023,6,Miền Nam,Bàn phím,3,808000,500000,2424000,924000
845,15/03/2023,3,Miền Bắc,Chuột quang,4,198000,100000,792000,392000
846,04/03/2023,3,Miền Bắc,Tai nghe,1,480000,250000,480000,230000
847,14/09/2023,9,Miền Trung,Tai nghe,4,495000,275000,1980000,880000
848,14/10/2023,10,Miền Trung,Tai nghe,1,485000,275000,485000,210000
849,22/08/2023,8,Miền Nam,Điện thoại,2,7920000,6000000,15840000,3840000
850,23/05/2023,5,Miền Trung,Bàn phím,4,800000,550000,3200000,1000000
851,25/08/2023,8,Miền Bắc,Điện thoại,1,8160000,6000000,8160000,2160000
852,19/02/2023,2,Miền Trung,Tai nghe,7,515000,275000,3605000,1680000
853,10/12/2023,12,Miền Trung,Bàn phím,1,824000,550000,824000,274000
854,18/10/2023,10,Miền Nam,Chuột quang,2,192000,100000,384000,184000
855,20/10/2023,10,Miền Bắc,Điện thoại,1,8160000,6000000,8160000,2160000
856,12/09/2023,9,Miền Bắc,Bàn phím,2,776000,500000,1552000,552000
857,27/05/2023,5,Miền Bắc,Tai nghe,2,500000,250000,1000000,500000
858,10/12/2023,12,Miền Bắc,Điện thoại,1,7600000,6000000,7600000,1600000
859,17/10/2023,10,Miền Bắc,Laptop Dell,5,15000000,12000000,75000000,15000000
860,13/04/2023,4,Miền Trung,Tai nghe,2,505000,275000,1010000,460000
861,14/04/2023,4,Miền Trung,Laptop Dell,4,15600000,13200000,62400000,9600000
862,25/01/2023,1,Miền Bắc,Tai nghe,1,480000,250000,480000,230000
863,24/10/2023,10,Miền Bắc,Laptop Dell,5,14700000,12000000,73500000,13500000
864,27/02/2023,2,Miền Bắc,Điện thoại,3,7760000,6000000,23280000,5280000
865,03/12/2023,12,Miền Nam,Chuột quang,5,206000,100000,1030000,530000
866,13/04/2023,4,Miền Trung,Bàn phím,2,832000,550000,1664000,564000
867,09/02/2023,2,Miền Nam,Laptop Dell,7,15300000,12000000,107100000,23100000
868,24/12/2023,12,Miền Trung,Tai nghe,8,500000,275000,4000000,1800000
869,28/11/2023,11,Miền Trung,Tai nghe,7,520000,275000,3640000,1715000
870,18/02/2023,2,Miền Trung,Điện thoại,1,8320000,6600000,8320000,1720000
871,09/11/2023,11,Miền Bắc,Chuột quang,6,196000,100000,1176000,576000
872,10/08/2023,8,Miền Bắc,Laptop Dell,5,15600000,12000000,78000000,18000000
873,04/04/2023,4,Miền Nam,Tai nghe,3,485000,250000,1455000,705000
874,03/06/2023,6,Miền Nam,Bàn phím,1,800000,500000,800000,300000
875,07/09/2023,9,Miền Nam,Điện thoại,1,8160000,6000000,8160000,2160000
876,04/05/2023,5,Miền Nam,Bàn phím,4,800000,500000,3200000,1200000
877,06/06/2023,6,Miền Nam,Chuột quang,4,200000,100000,800000,400000
878,26/05/2023,5,Miền Nam,Laptop Dell,3,14400000,12000000,43200000,7200000
879,17/07/2023,7,Miền Nam,Bàn phím,2,760000,500000,1520000,520000
880,25/03/2023,3,Miền Bắc,Tai nghe,4,485000,250000,1940000,940000
881,04/07/2023,7,Miền Trung,Laptop Dell,3,14850000,13200000,44550000,4950000
882,23/01/2023,1,Miền Nam,Tai nghe,1,485000,250000,485000,235000
883,12/02/2023,2,Miền Trung,Bàn phím,7,760000,550000,5320000,1470000
884,01/08/2023,8,Miền Nam,Chuột quang,3,196000,100000,588000,288000
885,05/02/2023,2,Miền Nam,Điện thoại,3,7680000,6000000,23040000,5040000
886,15/11/2023,11,Miền Nam,Điện thoại,1,7840000,6000000,7840000,1840000
887,14/04/2023,4,Miền Trung,Chuột quang,2,206000,110000,412000,192000
888,26/11/2023,11,Miền Trung,Bàn phím,8,792000,550000,6336000,1936000
889,02/04/2023,4,Miền Bắc,Bàn phím,4,816000,500000,3264000,1264000
890,06/11/2023,11,Miền Trung,Bàn phím,3,792000,550000,2376000,726000
891,27/04/2023,4,Miền Trung,Tai nghe,3,495000,275000,1485000,660000
892,21/12/2023,12,Miền Bắc,Tai nghe,6,490000,250000,2940000,1440000
893,03/04/2023,4,Miền Trung,Bàn phím,1,784000,550000,784000,234000
894,23/08/2023,8,Miền Trung,Laptop Dell,2,14550000,13200000,29100000,2700000
895,14/06/2023,6,Miền Nam,Điện thoại,4,7760000,6000000,31040000,7040000
896,25/12/2023,12,Miền Nam,Bàn phím,3,808000,500000,2424000,924000
897,18/02/2023,2,Miền Nam,Điện thoại,6,7920000,6000000,47520000,11520000
898,21/05/2023,5,Miền Bắc,Bàn phím,4,808000,500000,3232000,1232000
899,10/12/2023,12,Miền Bắc,Bàn phím,7,832000,500000,5824000,2324000
900,27/09/2023,9,Miền Bắc,Bàn phím,5,760000,500000,3800000,1300000
901,23/11/2023,11,Miền Nam,Bàn phím,1,784000,500000,784000,284000
902,13/04/2023,4,Miền Bắc,Laptop Dell,1,15150000,12000000,15150000,3150000
903,25/02/2023,2,Miền Trung,Bàn phím,4,800000,550000,3200000,1000000
904,22/09/2023,9,Miền Trung,Chuột quang,2,208000,110000,416000,196000
905,11/03/2023,3,Miền Nam,Laptop Dell,5,15600000,12000000,78000000,18000000
906,14/12/2023,12,Miền Nam,Laptop Dell,7,14700000,12000000,102900000,18900000
907,23/09/2023,9,Miền Trung,Laptop Dell,2,14550000,13200000,29100000,2700000
908,16/07/2023,7,Miền Bắc,Bàn phím,1,768000,500000,768000,268000
909,27/06/2023,6,Miền Trung,Tai nghe,1,510000,275000,510000,235000
910,05/12/2023,12,Miền Nam,Điện thoại,6,8240000,6000000,49440000,13440000
911,14/07/2023,7,Miền Trung,Chuột quang,3,198000,110000,594000,264000
912,08/07/2023,7,Miền Bắc,Bàn phím,3,784000,500000,2352000,852000
913,15/10/2023,10,Miền Nam,Điện thoại,4,7680000,6000000,30720000,6720000
914,14/01/2023,1,Miền Nam,Chuột quang,1,202000,100000,202000,102000
915,13/05/2023,5,Miền Trung,Tai nghe,3,485000,275000,1455000,630000
916,19/11/2023,11,Miền Bắc,Tai nghe,1,480000,250000,480000,230000
917,19/12/2023,12,Miền Bắc,Bàn phím,4,792000,500000,3168000,1168000
918,10/03/2023,3,Miền Bắc,Chuột quang,1,206000,100000,206000,106000
919,22/10/2023,10,Miền Trung,Chuột quang,4,206000,110000,824000,384000
920,06/06/2023,6,Miền Trung,Laptop Dell,1,15000000,13200000,15000000,1800000
921,23/11/2023,11,Miền Bắc,Điện thoại,8,8160000,6000000,65280000,17280000
922,18/08/2023,8,Miền Bắc,Tai nghe,2,505000,250000,1010000,510000
923,21/11/2023,11,Miền Bắc,Điện thoại,8,8000000,6000000,64000000,16000000
924,06/03/2023,3,Miền Trung,Chuột quang,4,190000,110000,760000,320000
925,14/10/2023,10,Miền Nam,Bàn phím,1,832000,500000,832000,332000
926,24/01/2023,1,Miền Bắc,Bàn phím,1,816000,500000,816000,316000
927,18/12/2023,12,Miền Nam,Laptop Dell,8,14700000,12000000,117600000,21600000
928,11/01/2023,1,Miền Trung,Chuột quang,3,196000,110000,588000,258000
929,02/05/2023,5,Miền Trung,Chuột quang,3,202000,110000,606000,276000
930,13/07/2023,7,Miền Nam,Tai nghe,1,510000,250000,510000,260000
931,22/02/2023,2,Miền Bắc,Tai nghe,9,515000,250000,4635000,2385000
932,16/05/2023,5,Miền Nam,Laptop Dell,3,15450000,12000000,46350000,10350000
933,14/10/2023,10,Miền Nam,Laptop Dell,1,14400000,12000000,14400000,2400000
934,26/04/2023,4,Miền Nam,Laptop Dell,3,14700000,12000000,44100000,8100000
935,02/09/2023,9,Miền Trung,Bàn phím,1,800000,550000,800000,250000
936,11/11/2023,11,Miền Trung,Laptop Dell,5,15600000,13200000,78000000,12000000
937,13/08/2023,8,Miền Trung,Tai nghe,4,480000,275000,1920000,820000
938,22/06/2023,6,Miền Trung,Chuột quang,1,200000,110000,200000,90000
939,10/02/2023,2,Miền Trung,Laptop Dell,1,14550000,13200000,14550000,1350000
940,12/02/2023,2,Miền Nam,Laptop Dell,7,15150000,12000000,106050000,22050000
941,17/08/2023,8,Miền Trung,Laptop Dell,5,15000000,13200000,75000000,9000000
942,23/12/2023,12,Miền Nam,Tai nghe,7,495000,250000,3465000,1715000
943,04/04/2023,4,Miền Bắc,Tai nghe,2,520000,250000,1040000,540000
944,07/06/2023,6,Miền Trung,Bàn phím,2,776000,550000,1552000,452000
945,26/11/2023,11,Miền Bắc,Laptop Dell,1,15450000,12000000,15450000,3450000
946,08/09/2023,9,Miền Nam,Tai nghe,4,505000,250000,2020000,1020000
947,16/12/2023,12,Miền Nam,Tai nghe,8,490000,250000,3920000,1920000
948,11/09/2023,9,Miền Bắc,Điện thoại,3,8160000,6000000,24480000,6480000
949,25/07/2023,7,Miền Bắc,Điện thoại,2,8240000,6000000,16480000,4480000
950,19/11/2023,11,Miền Bắc,Điện thoại,3,8080000,6000000,24240000,6240000
951,11/12/2023,12,Miền Trung,Điện thoại,9,7680000,6600000,69120000,9720000
952,03/05/2023,5,Miền Trung,Laptop Dell,2,15300000,13200000,30600000,4200000
953,20/05/2023,5,Miền Nam,Chuột quang,3,192000,100000,576000,276000
954,28/03/2023,3,Miền Nam,Điện thoại,4,7760000,6000000,31040000,7040000
955,20/09/2023,9,Miền Bắc,Điện thoại,1,7840000,6000000,7840000,1840000
956,15/07/2023,7,Miền Trung,Bàn phím,1,816000,550000,816000,266000
957,15/06/2023,6,Miền Trung,Bàn phím,1,824000,550000,824000,274000
958,05/07/2023,7,Miền Bắc,Bàn phím,4,816000,500000,3264000,1264000
959,10/03/2023,3,Miền Bắc,Chuột quang,1,202000,100000,202000,102000
960,12/12/2023,12,Miền Trung,Chuột quang,3,190000,110000,570000,240000
961,23/10/2023,10,Miền Nam,Laptop Dell,3,15150000,12000000,45450000,9450000
962,23/04/2023,4,Miền Nam,Tai nghe,2,505000,250000,1010000,510000
963,11/08/2023,8,Miền Bắc,Laptop Dell,1,14250000,12000000,14250000,2250000
964,12/06/2023,6,Miền Trung,Laptop Dell,4,15600000,13200000,62400000,9600000
965,17/06/2023,6,Miền Trung,Điện thoại,3,8240000,6600000,24720000,4920000
966,09/01/2023,1,Miền Bắc,Bàn phím,9,824000,500000,7416000,2916000
967,28/07/2023,7,Miền Trung,Điện thoại,1,8240000,6600000,8240000,1640000
968,26/02/2023,2,Miền Trung,Bàn phím,9,816000,550000,7344000,2394000
969,02/04/2023,4,Miền Bắc,Điện thoại,3,7680000,6000000,23040000,5040000
970,19/05/2023,5,Miền Trung,Bàn phím,5,760000,550000,3800000,1050000
971,06/11/2023,11,Miền Bắc,Laptop Dell,5,14550000,12000000,72750000,12750000
972,08/08/2023,8,Miền Nam,Điện thoại,2,7920000,6000000,15840000,3840000
973,14/12/2023,12,Miền Nam,Bàn phím,5,792000,500000,3960000,1460000
974,01/10/2023,10,Miền Bắc,Bàn phím,4,832000,500000,3328000,1328000
975,20/07/2023,7,Miền Nam,Chuột quang,2,204000,100000,408000,208000
976,21/12/2023,12,Miền Bắc,Tai nghe,3,480000,250000,1440000,690000
977,26/09/2023,9,Miền Trung,Bàn phím,5,816000,550000,4080000,1330000
978,13/10/2023,10,Miền Bắc,Laptop Dell,5,15450000,12000000,77250000,17250000
979,18/08/2023,8,Miền Bắc,Laptop Dell,5,15000000,12000000,75000000,15000000
980,25/08/2023,8,Miền Nam,Điện thoại,2,7920000,6000000,15840000,3840000
981,26/02/2023,2,Miền Nam,Điện thoại,5,8000000,6000000,40000000,10000000
982,26/09/2023,9,Miền Trung,Chuột quang,1,196000,110000,196000,86000
983,13/01/2023,1,Miền Trung,Bàn phím,3,792000,550000,2376000,726000
984,22/09/2023,9,Miền Bắc,Bàn phím,2,792000,500000,1584000,584000
985,15/09/2023,9,Miền Nam,Laptop Dell,1,15000000,12000000,15000000,3000000
986,03/01/2023,1,Miền Trung,Laptop Dell,3,15450000,13200000,46350000,6750000
987,19/02/2023,2,Miền Nam,Laptop Dell,1,15150000,12000000,15150000,3150000
988,05/06/2023,6,Miền Trung,Chuột quang,3,202000,110000,606000,276000
989,25/05/2023,5,Miền Trung,Bàn phím,5,776000,550000,3880000,1130000
990,15/07/2023,7,Miền Nam,Bàn phím,4,784000,500000,3136000,1136000
991,05/04/2023,4,Miền Nam,Tai nghe,3,490000,250000,1470000,720000
992,09/10/2023,10,Miền Trung,Điện thoại,2,7920000,6600000,15840000,2640000
993,16/07/2023,7,Miền Trung,Điện thoại,1,7920000,6600000,7920000,1320000
994,01/02/2023,2,Miền Trung,Chuột quang,9,196000,110000,1764000,774000
995,11/11/2023,11,Miền Nam,Bàn phím,3,784000,500000,2352000,852000
996,07/05/2023,5,Miền Nam,Bàn phím,3,824000,500000,2472000,972000
997,12/05/2023,5,Miền Nam,Điện thoại,2,7840000,6000000,15680000,3680000
998,26/04/2023,4,Miền Bắc,Chuột quang,2,208000,100000,416000,216000
999,08/01/2023,1,Miền Trung,Điện thoại,7,7920000,6600000,55440000,9240000
1000,15/02/2023,2,Miền Trung,Bàn phím,3,776000,550000,2328000,678000
1001,10/07/2023,7,Miền Nam,Tai nghe,3,510000,250000,1530000,780000
1002,09/11/2023,11,Miền Bắc,Điện thoại,1,7600000,6000000,7600000,1600000
1003,07/10/2023,10,Miền Nam,Bàn phím,4,816000,500000,3264000,1264000
1004,25/10/2023,10,Miền Trung,Tai nghe,5,505000,275000,2525000,1150000
1005,04/11/2023,11,Miền Nam,Laptop Dell,5,14700000,12000000,73500000,13500000
1006,16/09/2023,9,Miền Nam,Chuột quang,2,200000,100000,400000,200000
1007,12/08/2023,8,Miền Nam,Chuột quang,2,206000,100000,412000,212000
1008,23/09/2023,9,Miền Trung,Chuột quang,4,196000,110000,784000,344000
1009,07/12/2023,12,Miền Bắc,Chuột quang,3,202000,100000,606000,306000
1010,17/03/2023,3,Miền Nam,Laptop Dell,1,14250000,12000000,14250000,2250000
1011,02/01/2023,1,Miền Bắc,Laptop Dell,3,14850000,12000000,44550000,8550000
1012,14/04/2023,4,Miền Bắc,Chuột quang,1,198000,100000,198000,98000
1013,24/12/2023,12,Miền Nam,Chuột quang,5,196000,100000,980000,480000
1014,28/11/2023,11,Miền Bắc,Chuột quang,1,206000,100000,206000,106000
1015,20/02/2023,2,Miền Trung,Laptop Dell,8,15300000,13200000,122400000,16800000
1016,19/02/2023,2,Miền Bắc,Bàn phím,3,792000,500000,2376000,876000
1017,13/09/2023,9,Miền Trung,Laptop Dell,2,15600000,13200000,31200000,4800000
1018,14/05/2023,5,Miền Trung,Điện thoại,2,8320000,6600000,16640000,3440000
1019,11/06/2023,6,Miền Trung,Bàn phím,1,768000,550000,768000,218000
1020,07/01/2023,1,Miền Nam,Laptop Dell,5,14400000,12000000,72000000,12000000
1021,13/05/2023,5,Miền Trung,Bàn phím,5,776000,550000,3880000,1130000
1022,08/11/2023,11,Miền Nam,Tai nghe,6,515000,250000,3090000,1590000
1023,03/02/2023,2,Miền Trung,Tai nghe,7,485000,275000,3395000,1470000
1024,18/07/2023,7,Miền Trung,Điện thoại,4,8320000,6600000,33280000,6880000
1025,14/01/2023,1,Miền Nam,Bàn phím,1,816000,500000,816000,316000
1026,02/01/2023,1,Miền Trung,Chuột quang,3,206000,110000,618000,288000
1027,14/03/2023,3,Miền Nam,Laptop Dell,2,15300000,12000000,30600000,6600000
1028,24/06/2023,6,Miền Bắc,Tai nghe,1,475000,250000,475000,225000
1029,14/01/2023,1,Miền Trung,Laptop Dell,5,15600000,13200000,78000000,12000000
1030,01/03/2023,3,Miền Nam,Chuột quang,2,196000,100000,392000,192000
1031,09/10/2023,10,Miền Trung,Bàn phím,2,768000,550000,1536000,436000
1032,17/06/2023,6,Miền Trung,Điện thoại,3,8000000,6600000,24000000,4200000
1033,08/06/2023,6,Miền Trung,Điện thoại,3,7920000,6600000,23760000,3960000
1034,05/03/2023,3,Miền Nam,Điện thoại,1,8160000,6000000,8160000,2160000
1035,19/12/2023,12,Miền Nam,Tai nghe,5,520000,250000,2600000,1350000
1036,11/04/2023,4,Miền Bắc,Laptop Dell,1,15300000,12000000,15300000,3300000
1037,08/07/2023,7,Miền Nam,Bàn phím,2,784000,500000,1568000,568000
1038,15/09/2023,9,Miền Bắc,Tai nghe,5,500000,250000,2500000,1250000
1039,03/10/2023,10,Miền Nam,Laptop Dell,4,14850000,12000000,59400000,11400000
1040,09/08/2023,8,Miền Bắc,Bàn phím,4,824000,500000,3296000,1296000
1041,17/07/2023,7,Miền Trung,Chuột quang,1,194000,110000,194000,84000
1042,21/05/2023,5,Miền Nam,Bàn phím,4,800000,500000,3200000,1200000
1043,17/10/2023,10,Miền Bắc,Chuột quang,1,194000,100000,194000,94000
1044,01/11/2023,11,Miền Bắc,Điện thoại,6,8320000,6000000,49920000,13920000
1045,13/03/2023,3,Miền Nam,Điện thoại,1,8000000,6000000,8000000,2000000
1046,03/09/2023,9,Miền Bắc,Điện thoại,1,8160000,6000000,8160000,2160000
1047,25/06/2023,6,Miền Bắc,Bàn phím,3,792000,500000,2376000,876000
1048,09/04/2023,4,Miền Nam,Chuột quang,2,194000,100000,388000,188000
1049,22/12/2023,12,Miền Nam,Bàn phím,3,768000,500000,2304000,804000
1050,11/07/2023,7,Miền Trung,Tai nghe,1,495000,275000,495000,220000
1051,23/11/2023,11,Miền Trung,Laptop Dell,6,15450000,13200000,92700000,13500000
1052,18/04/2023,4,Miền Trung,Điện thoại,5,8160000,6600000,40800000,7800000
1053,11/12/2023,12,Miền Trung,Tai nghe,1,480000,275000,480000,205000
1054,06/09/2023,9,Miền Trung,Bàn phím,2,776000,550000,1552000,452000
1055,25/10/2023,10,Miền Bắc,Laptop Dell,1,14700000,12000000,14700000,2700000
1056,10/11/2023,11,Miền Nam,Bàn phím,1,800000,500000,800000,300000
1057,02/05/2023,5,Miền Bắc,Bàn phím,4,776000,500000,3104000,1104000
1058,09/07/2023,7,Miền Trung,Tai nghe,1,475000,275000,475000,200000
1059,02/03/2023,3,Miền Bắc,Bàn phím,1,776000,500000,776000,276000
1060,24/08/2023,8,Miền Bắc,Bàn phím,2,800000,500000,1600000,600000
1061,04/01/2023,1,Miền Nam,Điện thoại,1,8320000,6000000,8320000,2320000
1062,07/01/2023,1,Miền Trung,Điện thoại,6,7760000,6600000,46560000,6960000
1063,07/04/2023,4,Miền Bắc,Tai nghe,1,480000,250000,480000,230000
1064,21/12/2023,12,Miền Bắc,Bàn phím,9,792000,500000,7128000,2628000
1065,25/11/2023,11,Miền Nam,Điện thoại,5,8240000,6000000,41200000,11200000
1066,21/05/2023,5,Miền Nam,Điện thoại,5,8240000,6000000,41200000,11200000
1067,28/04/2023,4,Miền Trung,Chuột quang,5,200000,110000,1000000,450000
1068,25/02/2023,2,Miền Trung,Chuột quang,1,200000,110000,200000,90000
1069,26/02/2023,2,Miền Nam,Laptop Dell,5,15300000,12000000,76500000,16500000
1070,13/11/2023,11,Miền Trung,Tai nghe,6,475000,275000,2850000,1200000
1071,01/06/2023,6,Miền Bắc,Bàn phím,1,816000,500000,816000,316000
1072,13/10/2023,10,Miền Bắc,Điện thoại,3,7680000,6000000,23040000,5040000
1073,04/12/2023,12,Miền Nam,Điện thoại,5,8160000,6000000,40800000,10800000
1074,03/07/2023,7,Miền Nam,Tai nghe,2,500000,250000,1000000,500000
1075,25/11/2023,11,Miền Nam,Bàn phím,3,832000,500000,2496000,996000
1076,11/12/2023,12,Miền Bắc,Laptop Dell,9,14850000,12000000,133650000,25650000
1077,26/10/2023,10,Miền Nam,Chuột quang,3,204000,100000,612000,312000
1078,16/06/2023,6,Miền Nam,Chuột quang,4,198000,100000,792000,392000
1079,15/02/2023,2,Miền Nam,Bàn phím,8,760000,500000,6080000,2080000
1080,08/07/2023,7,Miền Bắc,Tai nghe,3,510000,250000,1530000,780000
1081,09/06/2023,6,Miền Trung,Chuột quang,2,202000,110000,404000,184000
1082,09/04/2023,4,Miền Trung,Tai nghe,4,510000,275000,2040000,940000
1083,27/08/2023,8,Miền Trung,Chuột quang,1,204000,110000,204000,94000
1084,10/02/2023,2,Miền Bắc,Chuột quang,3,198000,100000,594000,294000
1085,15/04/2023,4,Miền Nam,Chuột quang,3,194000,100000,582000,282000
1086,28/12/2023,12,Miền Trung,Laptop Dell,3,14250000,13200000,42750000,3150000
1087,02/12/2023,12,Miền Nam,Laptop Dell,8,14250000,12000000,114000000,18000000
1088,26/09/2023,9,Miền Nam,Chuột quang,2,198000,100000,396000,196000
1089,22/05/2023,5,Miền Trung,Bàn phím,3,808000,550000,2424000,774000
1090,12/10/2023,10,Miền Bắc,Chuột quang,4,202000,100000,808000,408000
1091,13/04/2023,4,Miền Trung,Chuột quang,1,194000,110000,194000,84000
1092,06/01/2023,1,Miền Trung,Điện thoại,7,7840000,6600000,54880000,8680000
1093,03/01/2023,1,Miền Trung,Điện thoại,7,8240000,6600000,57680000,11480000
1094,22/10/2023,10,Miền Nam,Điện thoại,5,8320000,6000000,41600000,11600000
1095,11/12/2023,12,Miền Trung,Chuột quang,3,206000,110000,618000,288000
1096,26/02/2023,2,Miền Trung,Laptop Dell,8,14550000,13200000,116400000,10800000
1097,25/04/2023,4,Miền Trung,Tai nghe,5,475000,275000,2375000,1000000
1098,18/02/2023,2,Miền Nam,Laptop Dell,4,15600000,12000000,62400000,14400000
1099,17/11/2023,11,Miền Nam,Laptop Dell,1,14400000,12000000,14400000,2400000
1100,28/04/2023,4,Miền Bắc,Bàn phím,3,784000,500000,2352000,852000
1101,14/10/2023,10,Miền Bắc,Laptop Dell,1,15600000,12000000,15600000,3600000
1102,28/02/2023,2,Miền Nam,Laptop Dell,4,14550000,12000000,58200000,10200000
1103,19/03/2023,3,Miền Bắc,Laptop Dell,5,15300000,12000000,76500000,16500000
1104,14/03/2023,3,Miền Bắc,Bàn phím,3,816000,500000,2448000,948000
1105,15/06/2023,6,Miền Nam,Tai nghe,3,505000,250000,1515000,765000
1106,08/01/2023,1,Miền Nam,Tai nghe,1,485000,250000,485000,235000
1107,17/05/2023,5,Miền Nam,Bàn phím,1,800000,500000,800000,300000
1108,24/10/2023,10,Miền Bắc,Laptop Dell,3,15300000,12000000,45900000,9900000
1109,11/01/2023,1,Miền Nam,Điện thoại,3,8080000,6000000,24240000,6240000
1110,28/10/2023,10,Miền Nam,Laptop Dell,2,14250000,12000000,28500000,4500000
1111,02/05/2023,5,Miền Trung,Điện thoại,4,7600000,6600000,30400000,4000000
1112,09/10/2023,10,Miền Nam,Tai nghe,3,475000,250000,1425000,675000
1113,24/03/2023,3,Miền Nam,Chuột quang,3,190000,100000,570000,270000
1114,12/07/2023,7,Miền Trung,Laptop Dell,3,14250000,13200000,42750000,3150000
1115,19/07/2023,7,Miền Bắc,Tai nghe,4,485000,250000,1940000,940000
1116,18/01/2023,1,Miền Bắc,Laptop Dell,3,14850000,12000000,44550000,8550000
1117,05/07/2023,7,Miền Bắc,Tai nghe,4,475000,250000,1900000,900000
1118,01/05/2023,5,Miền Nam,Điện thoại,3,7920000,6000000,23760000,5760000
1119,19/03/2023,3,Miền Nam,Laptop Dell,4,15000000,12000000,60000000,12000000
1120,05/11/2023,11,Miền Trung,Bàn phím,8,776000,550000,6208000,1808000
1121,23/11/2023,11,Miền Trung,Tai nghe,1,495000,275000,495000,220000
1122,22/05/2023,5,Miền Trung,Chuột quang,1,194000,110000,194000,84000
1123,26/02/2023,2,Miền Bắc,Chuột quang,3,190000,100000,570000,270000
1124,07/07/2023,7,Miền Bắc,Điện thoại,3,8160000,6000000,24480000,6480000
1125,28/01/2023,1,Miền Bắc,Chuột quang,4,204000,100000,816000,416000
1126,08/07/2023,7,Miền Nam,Điện thoại,2,8240000,6000000,16480000,4480000
1127,04/12/2023,12,Miền Bắc,Chuột quang,5,200000,100000,1000000,500000
